Tokens,Labels
"['A', 'chicken', 'is', 'an', 'important', 'animal', 'in', 'many', 'cultures.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'heard', 'a', 'elephant', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'farmers', 'keep', 'dog', 'on', 'their', 'farms.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['A', 'horse', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'cat,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'cat', 'looked', 'beautiful', 'in', 'the', 'morning', 'sunlight.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'chicken', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'butterfly', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'was', 'making', 'a', 'loud', 'noise', 'all', 'night.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'farmers', 'keep', 'horse', 'on', 'their', 'farms.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['The', 'horse', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'sheep.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['He', 'loves', 'taking', 'care', 'of', 'his', 'pet', 'cow.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['Yesterday,', 'we', 'visited', 'a', 'zoo', 'and', 'saw', 'a', 'elephant.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['A', 'butterfly', 'is', 'an', 'important', 'animal', 'in', 'many', 'cultures.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'chicken', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'chicken', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'cow', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'cow', 'is', 'an', 'important', 'animal', 'in', 'many', 'cultures.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'elephant', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'was', 'looking', 'for', 'food', 'near', 'the', 'barn.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'horse', 'was', 'running', 'across', 'the', 'field.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'cat', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['My', 'friend', 'adopted', 'a', 'horse', 'from', 'the', 'animal', 'shelter.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'was', 'running', 'across', 'the', 'field.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['I', 'found', 'a', 'horse', 'hiding', 'under', 'the', 'car.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['In', 'the', 'wild,', 'a', 'cow', 'can', 'be', 'very', 'dangerous.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'cow,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'sheep', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'cat', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'cat,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'horse', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'dog', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'squirrel', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'elephant.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['Have', 'you', 'ever', 'had', 'a', 'cat', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['A', 'elephant', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['I', 'saw', 'a', 'chicken', 'in', 'the', 'park', 'today.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['In', 'the', 'wild,', 'a', 'butterfly', 'can', 'be', 'very', 'dangerous.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['She', 'dreams', 'of', 'having', 'a', 'butterfly', 'as', 'a', 'pet', 'one', 'day.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'horse', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'butterfly', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['The', 'cat', 'was', 'running', 'across', 'the', 'field.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'spider', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['My', 'friend', 'adopted', 'a', 'squirrel', 'from', 'the', 'animal', 'shelter.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'cat.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['I', 'heard', 'a', 'horse', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'spider.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'butterfly', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['I', 'found', 'a', 'butterfly', 'hiding', 'under', 'the', 'car.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Yesterday,', 'we', 'visited', 'a', 'zoo', 'and', 'saw', 'a', 'cat.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
